qseqid	sseqid	evalue	bitscore	qstart	qend	sstart	send	pident	qcov	scov
CM057397.1.g72.t1	5061.CADANGAP00008151	3.88e-46	154.0	2	98	57	153	96.9	89.8	50.0
CM057397.1.g73.t1	5061.CADANGAP00008152	0.0	989.0	1	508	1	508	99.4	100.0	100.0
CM057397.1.g74.t1	5061.CADANGAP00008153	0.0	991.0	1	533	1	533	96.2	100.0	100.0
CM057397.1.g75.t1	5061.CADANGAP00008154	1.51e-203	565.0	1	298	1	315	86.3	99.7	99.7
CM057397.1.g76.t1	5061.CADANGAP00008156	4.94e-206	572.0	1	283	53	335	97.5	92.8	84.5
CM057397.1.g77.t1	5061.CADANGAP00008157	0.0	1172.0	1	665	1499	2163	86.8	97.4	28.6
CM057397.1.g78.t1	5061.CADANGAP00008158	0.0	1109.0	1	532	1	532	99.1	100.0	100.0
CM057397.1.g79.t1	5061.CADANGAP00008160	1.66e-287	786.0	1	407	1	407	100.0	100.0	100.0
CM057397.1.g80.t1	5061.CADANGAP00008161	4.73e-89	266.0	1	129	155	283	100.0	100.0	45.6
CM057397.1.g81.t1	40384.G7XY81	4.92e-242	665.0	1	341	1	341	97.7	100.0	100.0
CM057397.1.g82.t1	5061.CADANGAP00008163	1.23e-173	484.0	1	249	1	249	99.2	100.0	100.0
CM057397.1.g83.t1	5061.CADANGAP00008164	1.73e-219	605.0	1	300	1	300	97.3	100.0	100.0
CM057397.1.g84.t1	5061.CADANGAP00008165	0.0	964.0	1	500	1	500	99.2	100.0	100.0
CM057397.1.g85.t1	40384.G7XY85	4.97e-248	682.0	1	363	1	361	93.1	100.0	100.0
CM057397.1.g86.t1	5061.CADANGAP00008167	2.52e-213	591.0	1	326	1	323	95.7	100.0	100.0
CM057397.1.g87.t1	5061.CADANGAP00008168	0.0	1062.0	1	627	70	800	75.5	100.0	91.4
CM057397.1.g89.t1	5061.CADANGAP00008170	3.52e-245	674.0	1	351	1	343	95.2	100.0	100.0
CM057397.1.g90.t1	5061.CADANGAP00008171	0.0	1037.0	1	508	1	508	97.8	100.0	100.0
CM057397.1.g92.t1	5061.CADANGAP00008175	0.0	1113.0	1	581	1	581	95.0	100.0	100.0
CM057397.1.g93.t1	5061.CADANGAP00008176	0.0	1077.0	1	754	1	769	71.1	98.7	96.7
CM057397.1.g94.t1	40384.G7XY93	1.49e-153	432.0	1	225	1	225	97.8	100.0	100.0
CM057397.1.g95.t1	5061.CADANGAP00008179	5.66e-123	356.0	1	229	40	252	75.5	96.6	82.6
CM057397.1.g96.t1	5061.CADANGAP00008180	3.01e-184	516.0	1	300	1	300	91.7	99.7	99.7
CM057397.1.g97.t1	5061.CADANGAP00008181	3.28e-273	757.0	1	398	208	605	94.5	100.0	65.8
CM057397.1.g98.t1	5061.CADANGAP00008183	1.39e-135	384.0	1	200	1	203	95.1	100.0	100.0
CM057397.1.g99.t1	40384.G7XY99	0.0	943.0	1	475	1	475	98.3	100.0	100.0
CM057397.1.g100.t1	40384.G7XYA0	0.0	890.0	1	465	1	465	96.8	100.0	100.0
CM057397.1.g101.t1	40384.G7XYA1	5.02e-174	497.0	1	388	1	389	67.1	99.5	99.5
CM057397.1.g102.t1	40384.G7XYA2	3.07e-210	592.0	51	382	1	329	89.8	62.4	100.0
CM057397.1.g103.t1	40384.G7XYA3	1.69e-256	703.0	1	355	1	355	92.4	100.0	100.0
CM057397.1.g104.t1	40384.G7XYA4	2.14e-188	523.0	1	259	1	259	98.1	100.0	100.0
CM057397.1.g105.t1	5059.CADAFLAP00011877	6.82e-179	506.0	1	346	1	360	72.3	100.0	100.0
CM057397.1.g106.t1	5059.CADAFLAP00000056	2.23e-209	593.0	10	460	20	467	66.7	98.0	95.9
CM057397.1.g107.t1	36630.CADNFIAP00005128	3.53e-195	547.0	1	337	7	343	78.9	98.5	97.7
CM057397.1.g110.t1	162425.CADANIAP00002673	9.73e-303	832.0	3	498	2	497	83.5	99.6	99.8
CM057397.1.g111.t1	40384.G7XYA5	0.0	1190.0	1	625	1	617	95.8	100.0	100.0
CM057397.1.g112.t1	40384.G7XYA7	0.0	919.0	1	484	1	484	95.7	100.0	100.0
CM057397.1.g113.t1	40384.G7XYA8	1.72e-66	202.0	1	112	1	112	83.0	99.1	99.1
CM057397.1.g114.t1	5059.CADAFLAP00011294	2.28e-08	60.5	172	255	36	120	40.0	28.5	52.5
CM057397.1.g115.t1	40384.G7XYB1	2.49e-188	527.0	1	313	17	307	85.0	100.0	94.2
CM057397.1.g116.t1	36630.CADNFIAP00000033	2.65e-98	291.0	1	209	1	226	64.5	99.1	99.1
CM057397.1.g117.t1	40384.G7XYB3	0.0	1106.0	1	582	1	582	95.7	100.0	100.0
CM057397.1.g118.t1	40384.G7XYB4	0.0	974.0	1	519	1	519	97.1	100.0	100.0
CM057397.1.g119.t1	40384.G7XYB5	2.45e-57	177.0	1	84	1	84	95.2	100.0	100.0
CM057397.1.g120.t1	40384.G7XYB6	0.0	972.0	1	488	1	488	99.6	100.0	100.0
CM057397.1.g121.t1	5061.CADANGAP00013150	0.0	1420.0	1	684	1	684	100.0	100.0	100.0
CM057397.1.g123.t1	5061.CADANGAP00013157	3.1e-126	360.0	1	189	1	189	98.9	93.6	97.4
CM057397.1.g124.t1	5061.CADANGAP00013160	1.13e-193	547.0	1	279	245	523	99.3	100.0	53.3
CM057397.1.g127.t1	5061.CADANGAP00013162	6.61e-51	169.0	5	97	87	181	88.4	75.6	34.4
CM057397.1.g128.t1	40384.G7Y157	3.81e-162	457.0	1	243	1	308	78.9	100.0	100.0
CM057397.1.g129.t1	5061.CADANGAP00013165	0.0	1010.0	1	530	1	528	98.9	100.0	100.0
CM057397.1.g130.t1	5061.CADANGAP00013167	4.05e-208	575.0	1	289	1	289	99.7	100.0	100.0
CM057397.1.g131.t1	5061.CADANGAP00013168	3.59e-265	725.0	1	360	1	360	99.7	100.0	100.0
CM057397.1.g132.t1	5061.CADANGAP00013170	2.74e-205	570.0	1	293	36	328	100.0	100.0	89.3
CM057397.1.g133.t1	5061.CADANGAP00013171	0.0	1196.0	1	613	1	613	100.0	100.0	100.0
CM057397.1.g134.t1	40384.G7Y151	2.65e-276	759.0	1	425	1	426	96.7	100.0	99.1
CM057397.1.g135.t1	5061.CADANGAP00013173	5.25e-178	495.0	1	246	1	246	99.6	100.0	100.0
CM057397.1.g136.t1	40384.G7Y149	3.59e-315	860.0	1	463	1	463	99.8	100.0	100.0
CM057397.1.g137.t1	5061.CADANGAP00013175	0.0	1122.0	1	592	1	592	99.8	100.0	100.0
CM057397.1.g138.t1	40384.G7Y147	0.0	1471.0	1	837	1	837	93.9	100.0	100.0
CM057397.1.g139.t1	5061.CADANGAP00013177	0.0	1499.0	1	781	1	804	95.0	100.0	100.0
CM057397.1.g140.t1	5061.CADANGAP00013178	0.0	993.0	1	619	1	617	94.5	100.0	100.0
CM057397.1.g141.t1	5061.CADANGAP00013179	0.0	2216.0	1	1252	1	1252	99.5	100.0	100.0
CM057397.1.g142.t1	5061.CADANGAP00013180	0.0	1070.0	1	623	1	618	95.0	100.0	100.0
CM057397.1.g143.t1	40384.G7Y139	3.7e-234	644.0	1	326	1	326	98.2	100.0	100.0
CM057397.1.g144.t1	5061.CADANGAP00013184	3.49e-199	560.0	1	387	1	361	92.8	100.0	100.0
CM057397.1.g145.t1	5061.CADANGAP00013186	1.96e-309	844.0	1	439	1	439	98.9	100.0	100.0
CM057397.1.g146.t1	5061.CADANGAP00013187	4.15e-229	638.0	25	391	38	418	95.5	93.9	91.1
CM057397.1.g148.t1	5061.CADANGAP00013189	5.31e-214	591.0	1	292	1	292	97.3	92.7	99.7
CM057397.1.g149.t1	5061.CADANGAP00013190	0.0	945.0	1	770	1	806	85.7	98.3	96.8
CM057397.1.g150.t1	5061.CADANGAP00013191	0.0	955.0	1	494	1	494	96.8	98.4	96.7
CM057397.1.g151.t1	5061.CADANGAP00013192	2.23e-228	629.0	1	319	1	319	97.2	98.8	100.0
CM057397.1.g152.t1	5061.CADANGAP00013194	2.95e-249	687.0	1	360	14	373	95.8	99.2	86.3
CM057397.1.g154.t1	40384.G7XS64	0.0	3996.0	1	2415	1	2414	93.9	74.8	100.0
CM057397.1.g155.t1	5061.CADANGAP00013202	4.67e-261	713.0	1	342	1	342	100.0	100.0	100.0
CM057397.1.g156.t1	5061.CADANGAP00013203	0.0	1121.0	1	606	1	586	96.7	100.0	100.0
CM057397.1.g157.t1	40384.G7XS67	0.0	1734.0	1	916	1	917	97.6	100.0	100.0
CM057397.1.g158.t1	5061.CADANGAP00013205	1.92e-303	826.0	1	409	1	409	97.6	100.0	100.0
CM057397.1.g159.t1	5061.CADANGAP00013206	2.19e-135	406.0	1	316	1	546	48.7	91.3	84.4
CM057397.1.g161.t1	40384.G7XS73	3.14e-188	533.0	1	335	104	437	84.8	100.0	76.4
CM057397.1.g162.t1	5061.CADANGAP00013210	0.0	978.0	1	486	1	486	100.0	100.0	100.0
CM057397.1.g163.t1	5061.CADANGAP00013211	4.19e-240	660.0	1	344	1	344	98.8	100.0	100.0
CM057397.1.g164.t1	5061.CADANGAP00013212	3.52e-217	615.0	1	326	1	324	96.0	93.7	49.2
CM057397.1.g165.t1	5061.CADANGAP00013213	0.0	925.0	1	473	1	464	97.0	100.0	100.0
CM057397.1.g166.t1	5061.CADANGAP00013214	0.0	1110.0	1	654	1	654	96.8	100.0	100.0
CM057397.1.g167.t1	5061.CADANGAP00013215	0.0	1039.0	1	527	1	532	95.2	97.1	97.1
CM057397.1.g168.t1	40384.G7XSA4	2.03e-252	695.0	1	387	1	384	94.3	100.0	100.0
CM057397.1.g169.t1	5061.CADANGAP00013217	0.0	1263.0	1	649	1	649	99.1	100.0	100.0
CM057397.1.g170.t1	40384.G7XSA7	0.0	1255.0	240	877	11	648	97.0	72.7	98.5
CM057397.1.g171.t1	5061.CADANGAP00013220	4.82e-183	509.0	1	264	1	264	100.0	100.0	100.0
CM057397.1.g172.t1	5061.CADANGAP00013222	0.0	1199.0	1	668	1	665	98.4	100.0	100.0
CM057397.1.g173.t1	5061.CADANGAP00013223	0.0	1015.0	1	533	118	623	92.9	100.0	81.2
CM057397.1.g174.t1	5061.CADANGAP00013224	9.69e-239	660.0	1	375	1	376	97.1	100.0	100.0
CM057397.1.g175.t1	5061.CADANGAP00013225	4.16e-280	771.0	1	401	111	503	94.8	100.0	78.1
CM057397.1.g176.t1	5061.CADANGAP00013226	0.0	1130.0	1	578	1	578	99.8	100.0	100.0
CM057397.1.g177.t1	40384.G7XSB4	0.0	941.0	1	576	1	553	84.9	100.0	100.0
CM057397.1.g178.t1	5061.CADANGAP00013228	5.63e-226	622.0	1	311	1	311	100.0	100.0	100.0
CM057397.1.g179.t1	5061.CADANGAP00013229	0.0	909.0	1	453	1	453	100.0	100.0	100.0
CM057397.1.g180.t1	5061.CADANGAP00013230	0.0	1192.0	1	582	1	582	99.7	100.0	100.0
CM057397.1.g181.t1	5061.CADANGAP00013231	1.1e-258	709.0	1	367	1	367	99.7	100.0	100.0
CM057397.1.g182.t1	5061.CADANGAP00013232	1.09e-236	657.0	1	411	1	408	98.8	100.0	100.0
CM057397.1.g183.t1	5061.CADANGAP00013233	0.0	3095.0	1	1592	1	1592	99.9	100.0	100.0
CM057397.1.g184.t1	40384.G7XSC3	0.0	1116.0	1	752	1	757	90.0	100.0	100.0
CM057397.1.g185.t1	5061.CADANGAP00013235	0.0	967.0	1	483	1	483	98.8	100.0	100.0
CM057397.1.g186.t1	5061.CADANGAP00013236	0.0	963.0	1	479	1	479	100.0	100.0	100.0
CM057397.1.g187.t1	5061.CADANGAP00013238	0.0	997.0	1	498	1	498	99.6	100.0	100.0
CM057397.1.g188.t1	5061.CADANGAP00013240	2.26e-115	335.0	1	195	1	255	70.6	100.0	100.0
CM057397.1.g189.t1	5061.CADANGAP00013241	1.54e-307	838.0	1	423	1	423	99.8	100.0	100.0
CM057397.1.g190.t1	40384.G7XSE1	1.57e-264	730.0	1	375	122	496	95.5	100.0	75.6
CM057397.1.g191.t1	40384.G7XSE2	0.0	896.0	1	477	1	476	95.4	100.0	100.0
CM057397.1.g192.t1	5061.CADANGAP00013251	0.0	975.0	1	488	1	488	98.8	100.0	100.0
CM057397.1.g193.t1	5061.CADANGAP00013252	0.0	3360.0	1	1759	1	1758	98.2	100.0	100.0
CM057397.1.g194.t1	40384.G7XSE7	0.0	1698.0	619	1533	1	916	96.3	59.7	100.0
CM057397.1.g195.t1	5061.CADANGAP00013255	1.34e-303	836.0	1	439	109	547	95.4	98.0	73.0
CM057397.1.g196.t1	5061.CADANGAP00013256	0.0	1318.0	1	753	1	753	97.3	95.9	95.9
CM057397.1.g197.t1	5061.CADANGAP00013257	0.0	2237.0	1	1147	1	1147	99.5	100.0	100.0
CM057397.1.g198.t1	40384.G7XSF1	3.07e-98	285.0	1	136	1	136	99.3	100.0	100.0
CM057397.1.g199.t1	40384.G7XSF2	0.0	1008.0	1	535	1	535	95.7	100.0	100.0
CM057397.1.g200.t1	5061.CADANGAP00013260	0.0	897.0	1	493	1	493	100.0	100.0	100.0
CM057397.1.g201.t1	5061.CADANGAP00013261	0.0	1279.0	1	664	1	664	99.5	100.0	100.0
CM057397.1.g202.t1	5061.CADANGAP00013262	0.0	890.0	1	446	1	446	100.0	100.0	100.0
CM057397.1.g203.t1	5061.CADANGAP00013263	5.66e-70	211.0	1	109	1	109	100.0	100.0	100.0
CM057397.1.g204.t1	5061.CADANGAP00013264	0.0	1558.0	1	830	1	829	99.2	100.0	100.0
CM057397.1.g205.t1	5061.CADANGAP00013265	0.0	1304.0	1	644	1	644	99.8	100.0	100.0
CM057397.1.g206.t1	5061.CADANGAP00013272	0.0	1903.0	1	965	1	965	99.9	100.0	100.0
CM057397.1.g207.t1	5061.CADANGAP00013273	0.0	1374.0	16	730	56	765	99.0	97.9	92.8
CM057397.1.g208.t1	5061.CADANGAP00013274	2.7e-257	705.0	1	354	1	354	100.0	100.0	100.0
CM057397.1.g209.t1	5061.CADANGAP00013275	0.0	1733.0	1	903	1	905	99.4	100.0	100.0
CM057397.1.g210.t1	5061.CADANGAP00013277	0.0	1528.0	1	769	109	877	99.2	100.0	87.7
CM057397.1.g211.t1	5061.CADANGAP00013279	0.0	1659.0	1	864	1	856	98.6	100.0	100.0
CM057397.1.g212.t1	5061.CADANGAP00013280	2.71e-261	715.0	1	353	1	353	100.0	100.0	100.0
CM057397.1.g213.t1	5061.CADANGAP00013281	1.15e-127	363.0	1	184	1	181	97.8	100.0	100.0
CM057397.1.g214.t1	5061.CADANGAP00013282	0.0	918.0	1	517	4	520	91.3	92.0	91.5
CM057397.1.g215.t1	5061.CADANGAP00013283	1.27e-161	459.0	1	359	1	254	70.5	100.0	100.0
CM057397.1.g216.t1	5061.CADANGAP00013286	1.37e-289	793.0	1	431	1	431	99.8	100.0	100.0
CM057397.1.g217.t1	5061.CADANGAP00013288	0.0	2599.0	1	1421	1	1418	99.6	100.0	100.0
CM057397.1.g218.t1	5061.CADANGAP00013289	1.58e-116	333.0	1	169	1	169	100.0	100.0	100.0
CM057397.1.g219.t1	5061.CADANGAP00013290	2.43e-138	391.0	1	201	1	201	100.0	100.0	100.0
CM057397.1.g220.t1	5061.CADANGAP00013291	0.0	988.0	1	533	1	533	99.6	100.0	100.0
CM057397.1.g221.t1	40384.G7XSH7	0.0	976.0	1	499	1	496	96.8	100.0	100.0
CM057397.1.g222.t1	5061.CADANGAP00013294	0.0	876.0	1	493	1	493	97.8	100.0	100.0
CM057397.1.g223.t1	5061.CADANGAP00013295	0.0	1265.0	1	649	1	649	100.0	100.0	100.0
CM057397.1.g224.t1	5061.CADANGAP00013296	0.0	3037.0	1	1697	1	1697	99.9	100.0	100.0
CM057397.1.g225.t1	5061.CADANGAP00013300	1.28e-253	695.0	1	350	1	350	100.0	100.0	100.0
CM057397.1.g226.t1	5061.CADANGAP00013301	0.0	1000.0	1	510	1	525	96.8	100.0	100.0
CM057397.1.g227.t1	40384.G7XSI3	0.0	2232.0	58	1303	1	1201	94.3	95.6	100.0
CM057397.1.g228.t1	5061.CADANGAP00013305	0.0	1278.0	1	698	1	702	98.7	100.0	100.0
CM057397.1.g229.t1	5061.CADANGAP00013310	1.85e-175	493.0	1	295	1	295	99.0	100.0	100.0
CM057397.1.g230.t1	5061.CADANGAP00013311	3.29e-186	517.0	1	256	1	256	99.2	100.0	100.0
CM057397.1.g231.t1	162425.CADANIAP00008986	3.3e-48	154.0	1	88	1	88	89.8	100.0	100.0
CM057397.1.g232.t1	5061.CADANGAP00013313	0.0	1165.0	1	575	1	575	100.0	100.0	100.0
CM057397.1.g233.t1	5061.CADANGAP00013314	5.36e-222	614.0	1	336	1	332	96.7	100.0	100.0
CM057397.1.g234.t1	5061.CADANGAP00013318	0.0	1008.0	1	524	1	524	99.6	100.0	100.0
CM057397.1.g235.t1	5061.CADANGAP00013319	0.0	1681.0	1	851	35	885	99.9	100.0	96.2
CM057397.1.g236.t1	5061.CADANGAP00013320	0.0	1020.0	9	548	37	595	95.2	98.5	76.9
CM057397.1.g237.t1	5061.CADANGAP00013321	4.65e-277	758.0	1	387	1	387	100.0	100.0	100.0
CM057397.1.g238.t1	40384.G7XSJ4	0.0	968.0	1	501	1	501	97.4	100.0	100.0
CM057397.1.g239.t1	40384.G7XSJ6	0.0	2546.0	1	1354	1	1354	99.1	100.0	100.0
CM057397.1.g240.t1	40384.G7XSJ7	2.86e-116	333.0	1	166	1	166	98.8	98.8	99.4
CM057397.1.g241.t1	40384.G7XSJ8	0.0	1016.0	1	577	1	537	88.6	100.0	100.0
CM057397.1.g242.t1	40384.G7XSJ9	8.96e-197	553.0	1	369	1	369	93.0	100.0	100.0
CM057397.1.g243.t1	5061.CADANGAP00013325	1.2e-254	703.0	1	381	61	441	99.5	100.0	86.4
CM057397.1.g244.t1	5061.CADANGAP00013326	0.0	980.0	85	679	81	675	99.2	86.6	70.6
CM057397.1.g245.t1	5061.CADANGAP00013327	1.23e-172	482.0	1	247	1	247	100.0	100.0	100.0
CM057397.1.g246.t1	40384.G7XSK3	0.0	1716.0	1	962	1	963	95.6	100.0	100.0
CM057397.1.g247.t1	40384.G7XSK4	0.0	1380.0	1	807	1	786	89.1	100.0	100.0
CM057397.1.g248.t1	5061.CADANGAP00013334	7.92e-89	265.0	1	138	28	165	97.1	65.1	82.1
CM057397.1.g249.t1	5061.CADANGAP00013335	3.81e-78	234.0	1	120	1	120	98.3	98.4	74.5
CM057397.1.g250.t1	5061.CADANGAP00013339	0.0	978.0	1	523	1	522	99.2	100.0	100.0
CM057397.1.g251.t1	5061.CADANGAP00013341	7.09e-179	499.0	1	261	1	261	100.0	100.0	100.0
CM057397.1.g252.t1	5061.CADANGAP00013342	6.46e-178	500.0	7	256	90	339	100.0	96.5	70.8
CM057397.1.g253.t1	5061.CADANGAP00013343	8.84e-243	667.0	1	346	1	346	99.4	100.0	100.0
CM057397.1.g254.t1	5061.CADANGAP00013344	1.76e-252	700.0	1	443	1	443	98.6	100.0	100.0
CM057397.1.g255.t1	40384.G7XSL2	0.0	1261.0	1	656	1	656	99.8	100.0	100.0
CM057397.1.g256.t1	40384.G7XSL3	0.0	1096.0	1	662	1	649	88.4	100.0	100.0
CM057397.1.g257.t1	5061.CADANGAP00013346	0.0	1575.0	1	847	1	847	100.0	100.0	100.0
CM057397.1.g258.t1	5061.CADANGAP00013347	2.65e-257	708.0	10	365	71	426	100.0	97.5	83.6
CM057397.1.g259.t1	5061.CADANGAP00013348	3.64e-312	849.0	1	417	1	417	98.8	100.0	100.0
CM057397.1.g260.t1	40384.G7XSL7	0.0	1915.0	1	1041	1	1041	99.8	85.5	86.1
CM057397.1.g261.t1	5061.CADANGAP00013351	0.0	1395.0	40	791	1	752	99.9	95.1	100.0
CM057397.1.g262.t1	5061.CADANGAP00013352	9.45e-302	828.0	1	477	1	477	99.8	100.0	100.0
CM057397.1.g263.t1	5059.CADAFLAP00010822	0.0	1661.0	1	1234	1	1235	68.2	100.0	99.8
CM057397.1.g264.t1	5061.CADANGAP00013355	5.45e-257	704.0	1	354	1	354	100.0	100.0	100.0
CM057397.1.g265.t1	40384.G7XSM3	7.97e-65	197.0	1	103	1	103	95.1	100.0	100.0
CM057397.1.g266.t1	5061.CADANGAP00013357	4.62e-85	250.0	1	119	1	119	100.0	100.0	100.0
CM057397.1.g267.t1	5061.CADANGAP00013358	0.0	897.0	1	468	1	468	99.8	100.0	100.0
